instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,timestamp,hour,day,month,year,day_of_week,day_of_year,is_weekend,is_workingday,rush_hour,lag_1,lag_2,lag_24,lag_168,rolling_mean_24,rolling_mean_168
169,2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,2011-01-08 07:00:00,7,8,1,2011,5,8,1,0,1,2.0,5.0,84.0,16.0,63.208333333333336,56.458333333333336
170,2011-01-08,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,2011-01-08 08:00:00,8,8,1,2011,5,8,1,0,1,9.0,2.0,210.0,40.0,60.083333333333336,56.41666666666666
171,2011-01-08,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,2011-01-08 09:00:00,9,8,1,2011,5,8,1,0,1,15.0,9.0,134.0,32.0,51.958333333333336,56.267857142857146
172,2011-01-08,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,2011-01-08 10:00:00,10,8,1,2011,5,8,1,0,0,20.0,15.0,63.0,13.0,47.208333333333336,56.19642857142857
173,2011-01-08,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,2011-01-08 11:00:00,11,8,1,2011,5,8,1,0,0,61.0,20.0,67.0,1.0,47.125,56.48214285714285
174,2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,2011-01-08 12:00:00,12,8,1,2011,5,8,1,0,0,62.0,61.0,59.0,1.0,46.91666666666666,56.845238095238095
175,2011-01-08,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,2011-01-08 13:00:00,13,8,1,2011,5,8,1,0,0,98.0,62.0,73.0,2.0,48.54166666666666,57.42261904761905
176,2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,2011-01-08 14:00:00,14,8,1,2011,5,8,1,0,0,102.0,98.0,50.0,3.0,49.75,58.017857142857146
177,2011-01-08,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,2011-01-08 15:00:00,15,8,1,2011,5,8,1,0,0,95.0,102.0,72.0,8.0,51.625,58.56547619047619
178,2011-01-08,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,2011-01-08 16:00:00,16,8,1,2011,5,8,1,0,1,74.0,95.0,87.0,14.0,51.708333333333336,58.958333333333336
179,2011-01-08,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,2011-01-08 17:00:00,17,8,1,2011,5,8,1,0,1,76.0,74.0,187.0,36.0,51.25,59.32738095238095
180,2011-01-08,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,2011-01-08 18:00:00,18,8,1,2011,5,8,1,0,1,69.0,76.0,123.0,56.0,46.333333333333336,59.523809523809526
181,2011-01-08,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,2011-01-08 19:00:00,19,8,1,2011,5,8,1,0,1,55.0,69.0,95.0,84.0,43.5,59.517857142857146
182,2011-01-08,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,2011-01-08 20:00:00,20,8,1,2011,5,8,1,0,0,30.0,55.0,51.0,94.0,40.79166666666666,59.19642857142857
183,2011-01-08,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,2011-01-08 21:00:00,21,8,1,2011,5,8,1,0,0,28.0,30.0,39.0,106.0,39.833333333333336,58.80357142857143
184,2011-01-08,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,2011-01-08 22:00:00,22,8,1,2011,5,8,1,0,0,37.0,28.0,36.0,110.0,39.75,58.392857142857146
185,2011-01-08,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,2011-01-08 23:00:00,23,8,1,2011,5,8,1,0,0,34.0,37.0,15.0,93.0,39.66666666666666,57.94047619047619
