feature,importance
lag_1,0.6852916638404456
lag_24,0.1184739105332478
lag_168,0.048410410416104464
hr,0.02717367520861532
hour,0.025560739189025836
rush_hour,0.01805843131628152
lag_2,0.015864432821681828
rolling_mean_24,0.011045106638071253
rolling_mean_168,0.005661179495156668
hum,0.00528763735594903
weathersit,0.0051946395325111056
atemp,0.004563895968873565
temp,0.004011029322338664
day_of_week,0.003910587529255275
day_of_year,0.0037886299362382293
weekday,0.003160726885115594
day,0.0029336291975647763
workingday,0.002499000294907778
is_workingday,0.002493037026318853
windspeed,0.0024349376231585784
is_weekend,0.0014513479445557025
mnth,0.0006742677957736242
month,0.0006338661971816772
season,0.00038351043288830636
year,0.0003658644135101
yr,0.00036325575660155494
holiday,0.00031058732862736585
