group,hr,observations,mean_absolute_error,rmse,mean_error,weekday_name,mnth,season_name,workingday_name
hour,17.0,108,102.05237734759295,132.52949521434292,-70.83706891095197,,,,
hour,18.0,109,85.07871946282343,116.3568919439667,-50.15021290910353,,,,
hour,8.0,107,84.76038613720475,113.0374370311289,-68.0496123126734,,,,
hour,16.0,108,54.54465078424524,72.70198169185352,-30.334956663626212,,,,
hour,19.0,109,50.474128478163976,68.1869059156089,-21.690536114053987,,,,
hour,15.0,108,44.55638606460006,60.577942572106586,-17.242100574352122,,,,
hour,13.0,108,45.0595154232449,59.42302592540575,-1.8568382969609014,,,,
hour,9.0,107,40.92154643691589,55.36652954920252,-14.225225216874453,,,,
hour,7.0,107,38.57810179095402,53.07740267706603,-9.510496941682334,,,,
hour,12.0,107,40.16227789905584,51.25522241302857,-19.41955634143865,,,,
hour,14.0,108,34.43326582732024,47.2741695602015,-1.7538168871844257,,,,
hour,10.0,107,35.077144016729335,45.7362959099186,2.9191685614184797,,,,
hour,11.0,107,31.150264169568214,41.29713120527211,-11.574268269761701,,,,
hour,1.0,107,13.573920219858117,36.26337857584324,6.105473388021237,,,,
hour,21.0,109,26.318199315202346,35.274583422561726,-5.011195454028768,,,,
hour,20.0,109,25.134181906323914,33.58642227315028,-9.311091956742313,,,,
hour,0.0,108,18.46295189636725,31.261047341715862,2.041772288304788,,,,
hour,23.0,109,18.59407561415926,26.425156399225795,-3.8323881166790605,,,,
hour,22.0,109,18.703525438221224,26.31983568022353,-1.9015992890804185,,,,
hour,6.0,107,19.52399757420905,25.279889156990542,-5.226611850417663,,,,
hour,2.0,107,9.340400731452158,20.67614125840309,3.3232179490205285,,,,
hour,5.0,107,12.4345697866422,17.3810375197656,-5.254082385624681,,,,
hour,3.0,104,6.261749915205515,10.632831396876638,2.9625060776105294,,,,
hour,4.0,106,4.641629503301854,6.826389998242536,-0.4370562813754352,,,,
weekday,,360,41.3820933683051,69.51016214321625,-20.761745457847912,Thursday,,,
weekday,,360,43.709561544739536,68.31212217159205,-14.236610288835234,Tuesday,,,
weekday,,364,37.69664291431616,64.24521242477839,-16.726516136101313,Friday,,,
weekday,,346,36.427805035100505,60.70279653099841,-15.567986786020974,Wednesday,,,
weekday,,384,32.094205824658275,54.00455091676837,-12.95939463439087,Saturday,,,
weekday,,384,31.845151299455512,48.22421006627715,-14.519264220415304,Sunday,,,
weekday,,384,29.207403112823766,44.58540094151989,-2.668132381513715,Monday,,,
month,,708,48.08872677911978,76.25245856722675,-24.211806828650715,,10.0,,
month,,414,45.65816258865854,71.83356860071827,-23.217159706037403,,9.0,,
month,,718,31.827195651351907,49.87977261979248,-7.15521525838581,,11.0,,
month,,742,22.810951366096816,35.473738361439125,-5.066635170554858,,12.0,,
season,,222,44.92918657934344,69.57330683948737,-21.899924917264027,,,Fall,
season,,2098,37.32220297056056,60.67496742135894,-15.446161845263921,,,Winter,
season,,262,16.987362632769663,25.824077854029085,6.172059839463416,,,Spring,
workingday,,1719,38.55791572953394,64.29848644626776,-17.30218947753787,,,,Working day
workingday,,863,30.644140351757944,46.50139888812968,-6.846219574935467,,,,Non-working day
