feature,importance
lag_1,0.4779355
rush_hour,0.12934296
lag_24,0.10743619
lag_168,0.053058874
hr,0.045632616
workingday,0.042058222
weathersit,0.026013047
day_of_week,0.016573573
lag_2,0.01591037
yr,0.014592747
rolling_mean_24,0.011333522
temp,0.010624685
rolling_mean_168,0.00905578
weekday,0.007892968
atemp,0.0060711824
holiday,0.005924992
day_of_year,0.0056763478
hum,0.0048273685
mnth,0.0027956043
season,0.0027659074
windspeed,0.0026179624
day,0.0018596473
month,0.0
is_weekend,0.0
year,0.0
hour,0.0
is_workingday,0.0
